,Cidade,País,Curso,Empresa dos sonhos,Educação,Nível de inglês,Nível de excel,Cursos extras,Gênero,Interesses,Outras línguas,Referência,Universidade,Estado,Situação
4191,,,engenharia química,,graduação,,,,feminino,industria,,evento no facebook,unicamp,,checkedin
4192,sumaré,brasil,sistemas de informação,uma epresa com liberdade para crescer,graduação,intermediate,advanced,treinamento,masculino,area de ti,,amigo,metrocamp,são paulo,checkedin
4193,campinas,brasil,logística aeroportuária,aquela que transforma seu produto ou serviço em uma experiência completa.,graduação,basic,intermediate,,masculino,logística,,redes sociais,fatec - indaiatuba,são paulo,checkedin
4194,,,engenharia civil,,graduação,,,,masculino,industria,,amigo,esamc,,checkedin
4195,,,engenharia elétrica,,graduação,,,,masculino,"pesquisa, engenharia",,cartaz,unicamp,,checkedin
4196,,,engenharia química,,graduação,,,,feminino,engenharia,,amigos,unicamp,,checkedin
4197,campinas,brasil,,caterpillar,ensino médio,intermediate,intermediate,"cursos variados ministrados no centro de convenções da unicamp por ocasião do seemtec, semana de cursos técnicos.",masculino,"pesquisa, mecânica, financeira, computação, mecatrônica, eletrônica.",espanhol; leitura em latim e um pouco em italiano .,e-mail,,são paulo,confirmed
4198,,,engenharia de produção,,graduação,,,,feminino,"engenharia, consultoria",,amigos,facamp,,checkedin
4199,,,química,,graduação,,,,feminino,"pesquisa, qualidade",,amigo,unicamp,,checkedin
4200,campinas,brasil,estatística,,graduação,intermediate,advanced,,feminino,financeiro,,divulgação no campus,unicamp,são paulo,checkedin
